
CLAM2 Development Software Ver.05:   CLAM2 Development by PES using Synchrotron Light: EDC
Wednesday, September 12, 2012
Messured: 1:09:32 PM - 1:17:32 PM


Parameter Setting
Fix Photon Energy: 39.000000 eV
81.9 eV (UPS): CAE=10
Kinetic Energy Scan:   34.0000 - 37.0000   eV 
 Kinetic Energy Step:  0.0200   eV 
 600 lines/mm 
 Ch4-Speed:  High Speed Mode 
 Sampling: 1
Number of scan : 3*

Energy (eV)	CPS	Ie (mA)	Ip (A)	CPS/Ip	Avg CPS	Avg CPS/Ip	


Scan : 	1

35.140000	456.000000	84.340000	8.565237E-11	5.323846E+12	456.000000	5.323846E+12
35.160000	404.000000	84.340000	8.580159E-11	4.708537E+12	404.000000	4.708537E+12
35.180000	409.000000	84.336000	8.571632E-11	4.771553E+12	409.000000	4.771553E+12
35.200000	366.000000	84.336000	8.592949E-11	4.259306E+12	366.000000	4.259306E+12
35.220000	411.000000	84.332000	8.558132E-11	4.802450E+12	411.000000	4.802450E+12
35.240000	412.000000	84.332000	8.589396E-11	4.796612E+12	412.000000	4.796612E+12
35.260000	452.000000	84.332000	8.576606E-11	5.270150E+12	452.000000	5.270150E+12
35.280000	428.000000	84.328000	8.560619E-11	4.999638E+12	428.000000	4.999638E+12
35.300000	365.000000	84.328000	8.570211E-11	4.258938E+12	365.000000	4.258938E+12
35.320000	451.000000	84.323000	8.564527E-11	5.265907E+12	451.000000	5.265907E+12
35.340000	400.000000	84.323000	8.565593E-11	4.669846E+12	400.000000	4.669846E+12
35.360000	407.000000	84.318000	8.561685E-11	4.753737E+12	407.000000	4.753737E+12
35.380000	424.000000	84.318000	8.569856E-11	4.947574E+12	424.000000	4.947574E+12
35.400000	357.000000	84.313000	8.553158E-11	4.173897E+12	357.000000	4.173897E+12
35.420000	369.000000	84.313000	8.572343E-11	4.304541E+12	369.000000	4.304541E+12
35.440000	352.000000	84.313000	8.565948E-11	4.109294E+12	352.000000	4.109294E+12
35.460000	331.000000	84.308000	8.570566E-11	3.862055E+12	331.000000	3.862055E+12
35.480000	334.000000	84.308000	8.588330E-11	3.888998E+12	334.000000	3.888998E+12
35.500000	319.000000	84.301000	8.578382E-11	3.718650E+12	319.000000	3.718650E+12
35.520000	286.000000	84.301000	8.590106E-11	3.329412E+12	286.000000	3.329412E+12
35.540000	267.000000	84.296000	8.579093E-11	3.112217E+12	267.000000	3.112217E+12
35.560000	282.000000	84.296000	8.576251E-11	3.288150E+12	282.000000	3.288150E+12
35.580000	234.000000	84.292000	8.555645E-11	2.735036E+12	234.000000	2.735036E+12
35.600000	202.000000	84.292000	8.567724E-11	2.357686E+12	202.000000	2.357686E+12
35.620000	203.000000	84.289000	8.563816E-11	2.370439E+12	203.000000	2.370439E+12
35.640000	183.000000	84.289000	8.562751E-11	2.137164E+12	183.000000	2.137164E+12
35.660000	185.000000	84.287000	8.571988E-11	2.158192E+12	185.000000	2.158192E+12
35.680000	178.000000	84.287000	8.576251E-11	2.075499E+12	178.000000	2.075499E+12
35.700000	157.000000	84.287000	8.558132E-11	1.834512E+12	157.000000	1.834512E+12
35.720000	135.000000	84.283000	8.566658E-11	1.575877E+12	135.000000	1.575877E+12
35.740000	163.000000	84.283000	8.557421E-11	1.904779E+12	163.000000	1.904779E+12
35.760000	149.000000	84.279000	8.580159E-11	1.736565E+12	149.000000	1.736565E+12
35.780000	130.000000	84.279000	8.579093E-11	1.515312E+12	130.000000	1.515312E+12
35.800000	107.000000	84.276000	8.569145E-11	1.248666E+12	107.000000	1.248666E+12
35.820000	110.000000	84.276000	8.553158E-11	1.286075E+12	110.000000	1.286075E+12
35.840000	120.000000	84.272000	8.556000E-11	1.402525E+12	120.000000	1.402525E+12
35.860000	140.000000	84.272000	8.555645E-11	1.636347E+12	140.000000	1.636347E+12
35.880000	114.000000	84.272000	8.562751E-11	1.331348E+12	114.000000	1.331348E+12
35.900000	113.000000	84.269000	8.567724E-11	1.318903E+12	113.000000	1.318903E+12
35.920000	132.000000	84.269000	8.556000E-11	1.542777E+12	132.000000	1.542777E+12
35.940000	113.000000	84.266000	8.583356E-11	1.316501E+12	113.000000	1.316501E+12
35.960000	144.000000	84.266000	8.570922E-11	1.680099E+12	144.000000	1.680099E+12
35.980000	137.000000	84.262000	8.561329E-11	1.600219E+12	137.000000	1.600219E+12
36.000000	109.000000	84.262000	8.558843E-11	1.273537E+12	109.000000	1.273537E+12
36.020000	124.000000	84.259000	8.558843E-11	1.448794E+12	124.000000	1.448794E+12
36.040000	128.000000	84.259000	8.557066E-11	1.495840E+12	128.000000	1.495840E+12
36.060000	123.000000	84.254000	8.562040E-11	1.436574E+12	123.000000	1.436574E+12
36.080000	131.000000	84.254000	8.546053E-11	1.532871E+12	131.000000	1.532871E+12
36.100000	124.000000	84.254000	8.564527E-11	1.447832E+12	124.000000	1.447832E+12
36.120000	115.000000	84.249000	8.556000E-11	1.344086E+12	115.000000	1.344086E+12
36.140000	135.000000	84.249000	8.557066E-11	1.577644E+12	135.000000	1.577644E+12
36.160000	118.000000	84.245000	8.556711E-11	1.379035E+12	118.000000	1.379035E+12
36.180000	129.000000	84.245000	8.552092E-11	1.508403E+12	129.000000	1.508403E+12
36.200000	121.000000	84.241000	8.555290E-11	1.414330E+12	121.000000	1.414330E+12
36.220000	125.000000	84.241000	8.541079E-11	1.463515E+12	125.000000	1.463515E+12
36.240000	126.000000	84.237000	8.535039E-11	1.476267E+12	126.000000	1.476267E+12
36.260000	103.000000	84.237000	8.552803E-11	1.204284E+12	103.000000	1.204284E+12
36.280000	139.000000	84.233000	8.551737E-11	1.625401E+12	139.000000	1.625401E+12
36.300000	118.000000	84.233000	8.558487E-11	1.378748E+12	118.000000	1.378748E+12
36.320000	122.000000	84.233000	8.554935E-11	1.426077E+12	122.000000	1.426077E+12
36.340000	136.000000	84.228000	8.549961E-11	1.590651E+12	136.000000	1.590651E+12
36.360000	116.000000	84.228000	8.522605E-11	1.361086E+12	116.000000	1.361086E+12
36.380000	125.000000	84.223000	8.526158E-11	1.466077E+12	125.000000	1.466077E+12
36.400000	106.000000	84.223000	8.544632E-11	1.240545E+12	106.000000	1.240545E+12
36.420000	113.000000	84.219000	8.516921E-11	1.326771E+12	113.000000	1.326771E+12
36.440000	129.000000	84.219000	8.529710E-11	1.512361E+12	129.000000	1.512361E+12
36.460000	130.000000	84.215000	8.517986E-11	1.526182E+12	130.000000	1.526182E+12
36.480000	109.000000	84.215000	8.522605E-11	1.278952E+12	109.000000	1.278952E+12
36.500000	133.000000	84.211000	8.518342E-11	1.561337E+12	133.000000	1.561337E+12
36.520000	128.000000	84.211000	8.501999E-11	1.505528E+12	128.000000	1.505528E+12
36.540000	131.000000	84.211000	8.498091E-11	1.541523E+12	131.000000	1.541523E+12
36.560000	111.000000	84.207000	8.488854E-11	1.307597E+12	111.000000	1.307597E+12
36.580000	130.000000	84.207000	8.538592E-11	1.522499E+12	130.000000	1.522499E+12
36.600000	112.000000	84.202000	8.510526E-11	1.316017E+12	112.000000	1.316017E+12
36.620000	114.000000	84.202000	8.504131E-11	1.340525E+12	114.000000	1.340525E+12
36.640000	121.000000	84.197000	8.496670E-11	1.424087E+12	121.000000	1.424087E+12
36.660000	119.000000	84.197000	8.500223E-11	1.399963E+12	119.000000	1.399963E+12
36.680000	109.000000	84.193000	8.502710E-11	1.281944E+12	109.000000	1.281944E+12
36.700000	121.000000	84.193000	8.496670E-11	1.424087E+12	121.000000	1.424087E+12
36.720000	126.000000	84.193000	8.505197E-11	1.481447E+12	126.000000	1.481447E+12
36.740000	111.000000	84.188000	8.500223E-11	1.305848E+12	111.000000	1.305848E+12
36.760000	122.000000	84.188000	8.498802E-11	1.435496E+12	122.000000	1.435496E+12
36.780000	128.000000	84.184000	8.498446E-11	1.506158E+12	128.000000	1.506158E+12
36.800000	116.000000	84.184000	8.483525E-11	1.367356E+12	116.000000	1.367356E+12
36.820000	121.000000	84.180000	8.495249E-11	1.424326E+12	121.000000	1.424326E+12
36.840000	109.000000	84.180000	8.495604E-11	1.283016E+12	109.000000	1.283016E+12
36.860000	132.000000	84.175000	8.503065E-11	1.552381E+12	132.000000	1.552381E+12
