
CLAM2 Development Software Ver.05:   CLAM2 Development by PES using Synchrotron Light: EDC
Friday, December 16, 2011
Messured: 4:59:47 AM - 5:21:39 AM


Parameter Setting
Fix Photon Energy: 600.000000 eV
1638.4 eV (XPS): CAE=100
Kinetic Energy Scan:   50.0000 - 75.0000   eV 
 Kinetic Energy Step:  0.2000   eV 
 1200 lines/mm 
 Ch4-Speed:  High Speed Mode 
 Sampling: 1
Number of scan : 10*

Energy (eV)	CPS	Ie (mA)	Ip (A)	CPS/Ip	Avg CPS	Avg CPS/Ip	


Scan : 	1

60.800000	1812.000000	68.744000	2.482849E-10	7.298068E+12	1812.000000	7.298068E+12
61.000000	1930.000000	68.744000	2.484022E-10	7.769657E+12	1930.000000	7.769657E+12
61.200000	1816.000000	68.741000	2.480718E-10	7.320461E+12	1816.000000	7.320461E+12
61.400000	1877.000000	68.741000	2.482032E-10	7.562352E+12	1877.000000	7.562352E+12
61.600000	1901.000000	68.738000	2.480860E-10	7.662665E+12	1901.000000	7.662665E+12
61.800000	1976.000000	68.738000	2.487042E-10	7.945181E+12	1976.000000	7.945181E+12
62.000000	1917.000000	68.735000	2.486047E-10	7.711037E+12	1917.000000	7.711037E+12
62.200000	1964.000000	68.735000	2.485088E-10	7.903141E+12	1964.000000	7.903141E+12
62.400000	1979.000000	68.732000	2.486935E-10	7.957586E+12	1979.000000	7.957586E+12
62.600000	1971.000000	68.732000	2.487539E-10	7.923494E+12	1971.000000	7.923494E+12
62.800000	1944.000000	68.732000	2.479901E-10	7.839023E+12	1944.000000	7.839023E+12
63.000000	1910.000000	68.730000	2.485656E-10	7.684088E+12	1910.000000	7.684088E+12
63.200000	1843.000000	68.730000	2.487468E-10	7.409141E+12	1843.000000	7.409141E+12
63.400000	1847.000000	68.727000	2.487042E-10	7.426493E+12	1847.000000	7.426493E+12
63.600000	1797.000000	68.727000	2.486935E-10	7.225762E+12	1797.000000	7.225762E+12
63.800000	1711.000000	68.724000	2.481322E-10	6.895518E+12	1711.000000	6.895518E+12
64.000000	1704.000000	68.724000	2.479652E-10	6.871932E+12	1704.000000	6.871932E+12
64.200000	1602.000000	68.722000	2.481038E-10	6.456975E+12	1602.000000	6.456975E+12
64.400000	1658.000000	68.722000	2.481890E-10	6.680393E+12	1658.000000	6.680393E+12
64.600000	1564.000000	68.719000	2.480895E-10	6.304177E+12	1564.000000	6.304177E+12
64.800000	1561.000000	68.719000	2.479581E-10	6.295418E+12	1561.000000	6.295418E+12
65.000000	1546.000000	68.719000	2.481926E-10	6.229033E+12	1546.000000	6.229033E+12
65.200000	1464.000000	68.716000	2.484484E-10	5.892572E+12	1464.000000	5.892572E+12
65.400000	1475.000000	68.716000	2.482281E-10	5.942115E+12	1475.000000	5.942115E+12
65.600000	1469.000000	68.713000	2.483596E-10	5.914811E+12	1469.000000	5.914811E+12
65.800000	1467.000000	68.713000	2.483382E-10	5.907267E+12	1467.000000	5.907267E+12
66.000000	1484.000000	68.710000	2.480860E-10	5.981797E+12	1484.000000	5.981797E+12
66.200000	1368.000000	68.710000	2.476845E-10	5.523155E+12	1368.000000	5.523155E+12
66.400000	1433.000000	68.710000	2.480967E-10	5.775974E+12	1433.000000	5.775974E+12
66.600000	1468.000000	68.708000	2.480789E-10	5.917472E+12	1468.000000	5.917472E+12
66.800000	1433.000000	68.705000	2.479581E-10	5.779202E+12	1433.000000	5.779202E+12
67.000000	1512.000000	68.705000	2.482601E-10	6.090387E+12	1512.000000	6.090387E+12
67.200000	1447.000000	68.705000	2.480576E-10	5.833323E+12	1447.000000	5.833323E+12
67.400000	1448.000000	68.702000	2.480860E-10	5.836686E+12	1448.000000	5.836686E+12
67.600000	1368.000000	68.702000	2.480043E-10	5.516033E+12	1368.000000	5.516033E+12
67.800000	1422.000000	68.699000	2.482174E-10	5.728849E+12	1422.000000	5.728849E+12
68.000000	1385.000000	68.699000	2.479581E-10	5.585621E+12	1385.000000	5.585621E+12
68.200000	1420.000000	68.696000	2.481890E-10	5.721446E+12	1420.000000	5.721446E+12
