
CLAM2 Development Software Ver.05:   CLAM2 Development by PES using Synchrotron Light: EDC
Sunday, September 04, 2011
Messured: 4:25:28 PM - 11:34:40 PM


Parameter Setting
Fix Photon Energy: 805.000000 eV
1638.4 eV (XPS): CAE=100
Kinetic Energy Scan:   496.0000 - 516.0000   eV 
 Kinetic Energy Step:  0.1000   eV 
 2400 lines/mm 
 Ch4-Speed:  High Speed Mode 
 Sampling: 1
Number of scan : 125*

Energy (eV)	CPS	Ie (mA)	Ip (A)	CPS/Ip	Avg CPS	Avg CPS/Ip	


Scan : 	1

501.700000	714.000000	161.543000	3.106848E-11	2.298149E+13	714.000000	2.298149E+13
501.800000	697.000000	161.543000	3.134915E-11	2.223346E+13	697.000000	2.223346E+13
501.900000	727.000000	161.528000	3.123546E-11	2.327483E+13	727.000000	2.327483E+13
502.000000	738.000000	161.528000	3.122835E-11	2.363237E+13	738.000000	2.363237E+13
502.100000	744.000000	161.512000	3.116085E-11	2.387611E+13	744.000000	2.387611E+13
502.200000	749.000000	161.512000	3.124967E-11	2.396825E+13	749.000000	2.396825E+13
502.300000	771.000000	161.497000	3.123546E-11	2.468348E+13	771.000000	2.468348E+13
502.400000	757.000000	161.497000	3.137757E-11	2.412551E+13	757.000000	2.412551E+13
502.500000	753.000000	161.497000	3.122835E-11	2.411271E+13	753.000000	2.411271E+13
502.600000	803.000000	161.497000	3.156941E-11	2.543602E+13	803.000000	2.543602E+13
502.700000	763.000000	161.481000	3.148060E-11	2.423715E+13	763.000000	2.423715E+13
502.800000	790.000000	161.481000	3.159428E-11	2.500453E+13	790.000000	2.500453E+13
502.900000	819.000000	161.464000	3.132428E-11	2.614585E+13	819.000000	2.614585E+13
503.000000	834.000000	161.464000	3.153033E-11	2.645072E+13	834.000000	2.645072E+13
503.100000	883.000000	161.447000	3.140954E-11	2.811248E+13	883.000000	2.811248E+13
503.200000	887.000000	161.447000	3.126033E-11	2.837462E+13	887.000000	2.837462E+13
503.300000	986.000000	161.430000	3.123546E-11	3.156669E+13	986.000000	3.156669E+13
503.400000	988.000000	161.430000	3.134915E-11	3.151601E+13	988.000000	3.151601E+13
503.500000	1090.000000	161.430000	3.142375E-11	3.468714E+13	1090.000000	3.468714E+13
503.600000	1065.000000	161.412000	3.149836E-11	3.381128E+13	1065.000000	3.381128E+13
503.700000	1107.000000	161.412000	3.144507E-11	3.520425E+13	1107.000000	3.520425E+13
503.800000	1239.000000	161.395000	3.142375E-11	3.942878E+13	1239.000000	3.942878E+13
503.900000	1293.000000	161.395000	3.152678E-11	4.101275E+13	1293.000000	4.101275E+13
504.000000	1407.000000	161.379000	3.155165E-11	4.459355E+13	1407.000000	4.459355E+13
504.100000	1465.000000	161.379000	3.123191E-11	4.690715E+13	1465.000000	4.690715E+13
504.200000	1702.000000	161.362000	3.152678E-11	5.398585E+13	1702.000000	5.398585E+13
504.300000	1735.000000	161.362000	3.166889E-11	5.478563E+13	1735.000000	5.478563E+13
504.400000	1820.000000	161.345000	3.151612E-11	5.774823E+13	1820.000000	5.774823E+13
504.500000	1926.000000	161.345000	3.178258E-11	6.059923E+13	1926.000000	6.059923E+13
504.600000	2127.000000	161.328000	3.158362E-11	6.734504E+13	2127.000000	6.734504E+13
504.700000	2101.000000	161.328000	3.141309E-11	6.688295E+13	2101.000000	6.688295E+13
504.800000	2256.000000	161.328000	3.159784E-11	7.139729E+13	2256.000000	7.139729E+13
504.900000	2376.000000	161.311000	3.162270E-11	7.513590E+13	2376.000000	7.513590E+13
505.000000	2531.000000	161.311000	3.158362E-11	8.013648E+13	2531.000000	8.013648E+13
505.100000	2641.000000	161.295000	3.166534E-11	8.340349E+13	2641.000000	8.340349E+13
505.200000	2636.000000	161.295000	3.134559E-11	8.409476E+13	2636.000000	8.409476E+13
505.300000	2680.000000	161.278000	3.140244E-11	8.534369E+13	2680.000000	8.534369E+13
505.400000	2669.000000	161.278000	3.157297E-11	8.453433E+13	2669.000000	8.453433E+13
505.500000	2694.000000	161.262000	3.159784E-11	8.525899E+13	2694.000000	8.525899E+13
505.600000	2606.000000	161.262000	3.156586E-11	8.255755E+13	2606.000000	8.255755E+13
505.700000	2661.000000	161.262000	3.159784E-11	8.421462E+13	2661.000000	8.421462E+13
505.800000	2520.000000	161.245000	3.192824E-11	7.892699E+13	2520.000000	7.892699E+13
505.900000	2433.000000	161.245000	3.163692E-11	7.690382E+13	2433.000000	7.690382E+13
506.000000	2388.000000	161.229000	3.170442E-11	7.532073E+13	2388.000000	7.532073E+13
506.100000	2237.000000	161.229000	3.146283E-11	7.109977E+13	2237.000000	7.109977E+13
506.200000	2175.000000	161.214000	3.148415E-11	6.908238E+13	2175.000000	6.908238E+13
